B/S,Date,Company,Shares,Price,Charges,Tax,Currency
B,08/05/2013,SLIl,110000,0.567,12.5,1,GBP
B,02/03/2011,CGLl,5448,3.668023,12.5,1,GBP
B,05/03/2012,DCGl,12411,3.205752,12.5,199.93,GBP
B,08/05/2013,IAPl,20000,2.989589,12.5,299.96,GBP
B,08/04/2013,IDVY,3615,13.23235,12.5,0,GBP
B,25/02/2009,IDVY,234,10.615,12.5,0,GBP
B,23/01/2009,IDVY,250,12.03,12.5,0,GBP
B,06/01/2009,IDVY,500,13.975,12.5,0,GBP
B,30/08/2012,IDVY,12119,12.219,12.5,0,GBP
B,25/05/2010,PAYl,2346,2.114071,12.5,24.81,GBP
B,05/03/2012,RSA,40867,1.107461,12.5,227.29,GBP
S,17/12/2013,RSA,40867,0.911,6,0,GBP
